model_id,architecture,training_parent,training_relation,phase,planned_chemical_replicas,eligible_chemical_replicas,scientific_status,endpoint,mean,sample_standard_deviation,ci95_lower,ci95_upper,ci_method
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.743786499800748,0.001150085377455502,-9.745214519408796,-9.742358480192701,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,volume_A3_per_atom,19.0688141656802,0.007084102199315059,19.060018091019717,19.077610240340686,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,density_g_cm3,10.3536110674949,0.003845841579900076,10.348835824462343,10.358386310527456,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.002140898717334496,0.001741002610450732,-2.0841544840954646e-05,0.004302638979509946,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,pressure_error_GPa,0.02207683851028848,0.009648383414984295,0.01009678818303617,0.03405688883754079,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.09647216639978304,0.03421675004390246,0.053986459734732206,0.13895787306483387,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,phase_native,bcc,5,5,eligible_balanced,fraction_bcc,0.9778,0.0038503246616357106,0.9730191904862509,0.9825808095137492,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,energy_eV_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,volume_A3_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,density_g_cm3,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,max_force_eV_per_A,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,pressure_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,max_stress_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA2__bcc_parent,DPA2,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,fraction_fcc,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.75595571600966,0.0010052421034080009,-9.75720388893894,-9.75470754308038,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,volume_A3_per_atom,18.91497816126856,0.010617048944387598,18.901795353827147,18.928160968709975,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,density_g_cm3,10.43781873203586,0.005860081317929932,10.43054248003684,10.44509498403488,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.003417808545054866,0.000537255519848679,0.002750717708222512,0.004084899381887219,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,pressure_error_GPa,0.010519765288325206,0.011323584217510563,-0.0035403215651860272,0.024579852141836438,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.11256238061846938,0.014494900881533308,0.09456458403633743,0.1305601772006013,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,fraction_bcc,0.9964000000000001,0.002509980079602229,0.9932834480989493,0.9995165519010508,"two-sided Student-t, df=4"
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,energy_eV_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,volume_A3_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,density_g_cm3,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,max_force_eV_per_A,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,pressure_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,max_stress_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA2__fcc_parent,DPA2,fcc,phase_native,fcc,5,0,blocked_incomplete,fraction_fcc,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.754725224229162,0.0013194357043330995,-9.756363520041177,-9.753086928417147,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,volume_A3_per_atom,19.107756279603898,0.008990088795249986,19.09659361000618,19.118918949201614,"two-sided Student-t, df=4"
