chemical_seed,velocity_seed,first_half_window_ps,second_half_window_ps,volume_A3_per_atom_first_50ps_mean,volume_A3_per_atom_second_50ps_mean,volume_A3_per_atom_half_difference,volume_A3_per_atom_half_tolerance,volume_A3_per_atom_length_passed,density_g_cm3_first_50ps_mean,density_g_cm3_second_50ps_mean,density_g_cm3_half_difference,density_g_cm3_half_tolerance,density_g_cm3_length_passed,both_original_checks_passed
20260825,20260905,"(0,50]","(50,100]",19.7475403,19.748391299999998,0.0008509999999972706,0.0034193232741767067,true,9.997813979999998,9.99737896,0.0004350199999976212,0.0017265557691545496,true,true
20262843,20260905,"(0,50]","(50,100]",19.7503583,19.7524185,0.00206020000000251,0.002745097776846232,true,9.996397840000002,9.99534836,0.0010494800000024895,0.0013858820339086766,true,true
20264861,20260905,"(0,50]","(50,100]",19.7545998,19.7552247,0.000624899999998263,0.0023706451226984545,true,9.994233,9.993926940000001,0.0003060599999979985,0.0011967171926936108,true,true
