architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.7614712421838213,0.1437214413650338,0.0860684196192363,0.2073039291239981,15.8774417841698,10.166916940395026,21.51353606827793,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.2883388908556271,0.616853792693228,0.5725516236960876,0.665581461312577,68.14613108391691,65.18836479105516,71.09980562480439,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7614712421838213,0.2883388908556271,0.4731323513281942,0.4435951095671107,0.5001292993586881,62.13397501017889,58.00191370133695,66.22162254712438,improvement,10000
DPA3,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.7513355677760067,-0.1350653920138569,-0.2285794641254082,-0.0036788630035077,-21.916587452381528,-47.2354464560721,-0.4643301662042416,degradation,10000
DPA3,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.5998140021440127,0.0164561736181371,-0.1448255725644706,0.1539840858009991,2.6702855769039187,-21.23101872341102,29.464685505527825,unresolved,10000
DPA3,equal_fold_mean,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7513355677760067,0.5998140021440127,0.151521565631994,-0.0824695986998991,0.3526744086244777,20.16696295644647,-10.190625746303652,50.08579118817224,unresolved,10000
DPA4,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9617250944334398,0.7605618243818575,0.2011632700515823,-0.0528807454863574,0.5053053808548463,20.916920148588744,-7.234670598029512,40.57582563114044,unresolved,10000
DPA4,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9617250944334398,0.3907666642248033,0.5709584302086365,0.3997040227516759,0.7815206348707521,59.36815348932876,51.12722819079119,66.43038630032994,improvement,10000
DPA4,equal_fold_mean,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7605618243818575,0.3907666642248033,0.3697951601570541,0.2159515988885058,0.520045358493124,48.62131496773496,30.194622723479043,64.18493824521201,improvement,10000
