orientation,temperature_K,strain_bin,n_realization_pairs,strain_mean,stress_GPa_mean,stress_GPa_sd,stress_GPa_min,stress_GPa_max,curve_role
100,300,41,3,0.04145,2.480372,0.0726373587832047,2.409191,2.554383,descriptive_equal_realization_mean_not_inferential_frames
100,300,42,3,0.04245,2.503636,0.0768407357786217,2.455451,2.592251,descriptive_equal_realization_mean_not_inferential_frames
100,300,43,3,0.04345,2.613598333333333,0.0872597663894039,2.513354,2.672528,descriptive_equal_realization_mean_not_inferential_frames
100,300,44,3,0.04445,2.611933333333333,0.1259805561756787,2.522416,2.755995,descriptive_equal_realization_mean_not_inferential_frames
100,300,45,3,0.04545,2.661632666666667,0.084884241207266,2.60163,2.758754,descriptive_equal_realization_mean_not_inferential_frames
100,300,46,3,0.04645,2.7331636666666665,0.091141939162678,2.6286180000000003,2.795901,descriptive_equal_realization_mean_not_inferential_frames
100,300,47,3,0.04745,2.753778333333333,0.1180839072750108,2.634005,2.8700970000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,48,3,0.04845,2.8486233333333337,0.102398639162507,2.730405,2.909682,descriptive_equal_realization_mean_not_inferential_frames
100,300,49,3,0.04945,2.8020866666666664,0.0931981033623183,2.725391,2.905812,descriptive_equal_realization_mean_not_inferential_frames
100,300,50,3,0.0504499999999999,2.881831,0.0748722117544287,2.799099,2.944932,descriptive_equal_realization_mean_not_inferential_frames
100,300,51,3,0.0514499999999999,2.9396283333333333,0.0899915280253273,2.881733,3.0433059999999994,descriptive_equal_realization_mean_not_inferential_frames
100,300,52,3,0.05245,3.020462666666667,0.0908022789710331,2.954359,3.123997,descriptive_equal_realization_mean_not_inferential_frames
100,300,53,3,0.05345,3.0297749999999994,0.0843457468222317,2.944974,3.113658,descriptive_equal_realization_mean_not_inferential_frames
100,300,54,3,0.05445,3.0849816666666663,0.0927446096403095,3.0084569999999995,3.1881250000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,55,3,0.05545,3.139792,0.0723496390246697,3.079839,3.220154,descriptive_equal_realization_mean_not_inferential_frames
100,300,56,3,0.05645,3.2138943333333336,0.1553648790632342,3.068862,3.377857,descriptive_equal_realization_mean_not_inferential_frames
