architecture,fold,comparison,baseline_regime_primary,treatment_regime_primary,evaluation_variant_primary,endpoint,unit_primary,systems_primary,baseline_equal_system_estimate_primary,treatment_equal_system_estimate_primary,absolute_reduction_primary,reduction_ci_low_primary,reduction_ci_high_primary,relative_reduction_percent_primary,relative_reduction_ci_low_primary,relative_reduction_ci_high_primary,direction_primary,bootstrap_resamples_primary,baseline_regime_every_100th_frame,treatment_regime_every_100th_frame,evaluation_variant_every_100th_frame,unit_every_100th_frame,systems_every_100th_frame,baseline_equal_system_estimate_every_100th_frame,treatment_equal_system_estimate_every_100th_frame,absolute_reduction_every_100th_frame,reduction_ci_low_every_100th_frame,reduction_ci_high_every_100th_frame,relative_reduction_percent_every_100th_frame,relative_reduction_ci_low_every_100th_frame,relative_reduction_ci_high_every_100th_frame,direction_every_100th_frame,bootstrap_resamples_every_100th_frame
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.7614712421838213,0.1437214413650338,0.0860684196192363,0.2073039291239981,15.8774417841698,10.166916940395026,21.51353606827793,improvement,10000,pure,pure_pocc_seed,independence,eV/angstrom,83,0.7902250701151006,0.5685230723798871,0.2217019977352134,0.1540763067269253,0.2926170405658284,28.055551022055194,20.35190156125101,35.4434314675459,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.2883388908556271,0.616853792693228,0.5725516236960876,0.665581461312577,68.14613108391691,65.18836479105516,71.09980562480439,improvement,10000,pure,pure_pocc_aimd,independence,eV/angstrom,83,0.7902250701151006,0.21689412818264,0.5733309419324605,0.5285258656637332,0.6199344028850372,72.55286672301496,70.10202486351336,74.88371221014201,improvement,10000
DPA3,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.7513355677760067,-0.1350653920138569,-0.2285794641254082,-0.0036788630035077,-21.916587452381528,-47.2354464560721,-0.4643301662042416,degradation,10000,pure,pure_pocc_seed,independence,eV/angstrom,83,0.4304292405394399,0.5442874025217799,-0.11385816198234,-0.1573396734052088,-0.0665873822690681,-26.452236804276144,-38.9243691881827,-14.555225423963725,degradation,10000
DPA3,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.5998140021440127,0.0164561736181371,-0.1448255725644706,0.1539840858009991,2.6702855769039187,-21.23101872341102,29.464685505527825,unresolved,10000,pure,pure_pocc_aimd,independence,eV/angstrom,83,0.4304292405394399,0.2436468973669732,0.1867823431724666,0.1475983511015939,0.2252168533153387,43.39443643242725,35.13533497552511,50.78862782802841,improvement,10000
DPA4,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9617250944334398,0.7605618243818575,0.2011632700515823,-0.0528807454863574,0.5053053808548463,20.916920148588744,-7.234670598029512,40.57582563114044,unresolved,10000,pure,pure_pocc_seed,independence,eV/angstrom,83,0.5748374381825568,0.6141939791536178,-0.039356540971061,-0.1796318946828278,0.0737282106726392,-6.846551452092819,-31.161084693687812,12.832132922385243,unresolved,10000
DPA4,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9617250944334398,0.3907666642248033,0.5709584302086365,0.3997040227516759,0.7815206348707521,59.36815348932876,51.12722819079119,66.43038630032994,improvement,10000,pure,pure_pocc_aimd,independence,eV/angstrom,83,0.5748374381825568,0.1855618755442917,0.389275562638265,0.3596910006593668,0.4193336433788198,67.71924317751882,64.66892840301395,70.72671173900741,improvement,10000
