architecture,fold,system_id,parent_family,structure,hnf_group,comparison,pure_coverage_distance_median,treatment_coverage_distance_median,coverage_distance_reduction,pure_force_component_rmse_ev_a,treatment_force_component_rmse_ev_a,force_component_rmse_reduction_ev_a
DPA2,bcc_to_fcc,POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_21_H1C8,1.0,pure_pocc_seed_vs_pure,4.632958616969924,2.096775682971808,2.5361829339981163,0.8625992917902847,0.6944427108185713,0.16815658097171338
DPA2,bcc_to_fcc,POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_22_H1C10,1.0,pure_pocc_seed_vs_pure,4.672065832014681,2.083182234946628,2.5888835970680533,0.7226001542453443,0.6974967549232736,0.02510339932207073
DPA2,bcc_to_fcc,POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_23_H1C12,1.0,pure_pocc_seed_vs_pure,4.63962121576174,1.853843249890791,2.785777965870949,0.9001461154154944,0.7002453260247252,0.19990078939076916
DPA2,bcc_to_fcc,POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_24_H1C14,1.0,pure_pocc_seed_vs_pure,4.7379404198303225,2.34307922577554,2.3948611940547826,0.7023693411054165,0.6952223314166817,0.007147009688734829
DPA2,bcc_to_fcc,POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_25_H2C0,2.0,pure_pocc_seed_vs_pure,4.925002121311918,1.581541363287856,3.3434607580240616,0.5845511788379821,0.7331083014402229,-0.14855712260224074
DPA2,bcc_to_fcc,POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_26_H2C1,2.0,pure_pocc_seed_vs_pure,4.913785815971577,1.691849010222391,3.221936805749186,0.5988782289953769,0.7402468812057724,-0.14136865221039552
DPA2,bcc_to_fcc,POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_27_H2C2,2.0,pure_pocc_seed_vs_pure,4.957881753754508,1.808580901416576,3.149300852337932,0.5938810315888357,0.7341120152746293,-0.14023098368579368
DPA2,bcc_to_fcc,POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_28_H2C3,2.0,pure_pocc_seed_vs_pure,4.941155028037018,1.701716863808337,3.239438164228681,0.582377403556972,0.7319761820606357,-0.14959877850366377
DPA2,bcc_to_fcc,POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_29_H2C4,2.0,pure_pocc_seed_vs_pure,4.910908685293982,1.8493996274191955,3.061509057874786,0.6060096709504076,0.7396449500965397,-0.13363527914613216
DPA2,bcc_to_fcc,POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_30_H2C5,2.0,pure_pocc_seed_vs_pure,4.9343153342501775,1.8316162615947065,3.1026990726554713,0.5997039585457464,0.7506678617123833,-0.15096390316663688
DPA2,bcc_to_fcc,POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_31_H2C6,2.0,pure_pocc_seed_vs_pure,4.535763386264398,1.9141184106174367,2.621644975646961,0.5922053681336048,0.763332410000468,-0.17112704186686323
DPA2,bcc_to_fcc,POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_32_H2C7,2.0,pure_pocc_seed_vs_pure,4.942876887820386,1.7892552736416285,3.153621614178758,0.6116070623256066,0.7492379501128464,-0.13763088778723986
DPA2,bcc_to_fcc,POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_33_H2C8,2.0,pure_pocc_seed_vs_pure,4.91547251399432,1.6865543180308464,3.228918195963474,0.597173543363695,0.7134093272144646,-0.1162357838507696
DPA2,bcc_to_fcc,POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_34_H2C10,2.0,pure_pocc_seed_vs_pure,4.919434703101,1.5364573226239902,3.3829773804770102,0.5882389873503255,0.7284995414656285,-0.14026055411530292
DPA2,bcc_to_fcc,POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_35_H2C12,2.0,pure_pocc_seed_vs_pure,4.535583016280416,1.860904855360909,2.674678160919507,0.7129343415512276,0.7510844163934385,-0.03815007484221089
DPA2,bcc_to_fcc,POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90,fcc,POCC_36_H2C14,2.0,pure_pocc_seed_vs_pure,4.934715325023624,1.7944086533840051,3.1403066716396184,0.5851299800343012,0.7394642774760211,-0.1543342974417199
DPA2,bcc_to_fcc,POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_37_H3C0,3.0,pure_pocc_seed_vs_pure,4.838954164451376,1.5615438148586884,3.277410349592688,0.6628837356594578,0.6529088412557543,0.009974894403703471
DPA2,bcc_to_fcc,POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_38_H3C1,3.0,pure_pocc_seed_vs_pure,4.744000386652012,2.537710235392911,2.2062901512591013,0.9829121582366,0.6188589834138797,0.36405317482272037
DPA2,bcc_to_fcc,POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_39_H3C2,3.0,pure_pocc_seed_vs_pure,4.751826777137643,2.3866388473266804,2.365187929810962,1.0453302524631676,0.5642358406944334,0.48109441176873413
DPA2,bcc_to_fcc,POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_40_H3C3,3.0,pure_pocc_seed_vs_pure,4.792222834513693,2.9145381323519723,1.8776847021617202,1.2991059730209842,0.6371181953933532,0.661987777627631
DPA2,bcc_to_fcc,POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_49_H4C0,4.0,pure_pocc_seed_vs_pure,5.491299392047603,1.5875789097831183,3.9037204822644846,0.6193040771597271,0.6795290774273846,-0.060225000267657425
DPA2,fcc_to_bcc,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0.0,pure_pocc_seed_vs_pure,3.768064438661612,3.605939703571188,0.16212473509042358,1.3959716064901988,1.1179544579852525,0.2780171485049463
DPA2,fcc_to_bcc,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0.0,pure_pocc_seed_vs_pure,3.702076723697792,3.6257679571370938,0.07630876656069807,1.4821346893529863,1.158423658382007,0.3237110309709794
DPA2,fcc_to_bcc,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0.0,pure_pocc_seed_vs_pure,3.694110039599657,3.4414203766028204,0.2526896629968367,1.432296142653802,1.3155709900995098,0.11672515255429206
DPA2,fcc_to_bcc,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0.0,pure_pocc_seed_vs_pure,3.560535818176704,3.560535818176704,0.0,1.9356140384745983,1.476911136816072,0.45870290165852645
DPA2,fcc_to_bcc,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0.0,pure_pocc_seed_vs_pure,3.706039443735964,3.224428818414382,0.48161062532158194,1.0902940366753635,0.1836281233050737,0.9066659133702898
