orientation,temperature_K,endpoint,n_realization_pairs,mean,sd,ci95_low,ci95_high,status
100,300,tangent_modulus_GPa,3,60.33103431996978,11.198772287369955,32.511741754563346,88.15032688537622,estimated
100,1200,tangent_modulus_GPa,3,62.66596268540718,10.063174094918462,37.6676524153711,87.66427295544327,estimated
110,300,tangent_modulus_GPa,3,81.16215813067573,8.357753601352933,60.40034722325698,101.9239690380945,estimated
110,1200,tangent_modulus_GPa,3,77.27061297134289,21.911455969478023,22.839538876158613,131.70168706652714,estimated
111,300,tangent_modulus_GPa,3,94.60839592932707,17.05529826987851,52.24068631037836,136.9761055482758,estimated
111,1200,tangent_modulus_GPa,3,117.05715633821528,28.04810002646389,47.381813316910566,186.73249935952,estimated
100,300,uts_GPa,3,4.327468333333333,0.0271265684216288,4.260082201724255,4.394854464942411,estimated
100,1200,uts_GPa,3,3.222403,0.1127635861038481,2.9422827232366906,3.502523276763309,estimated
110,300,uts_GPa,3,9.744556666666666,0.5560210053741977,8.363323918639344,11.125789414693989,estimated
110,1200,uts_GPa,3,7.386252333333332,0.4419208627179004,6.28846005260527,8.484044614061395,estimated
111,300,uts_GPa,3,9.139386333333333,0.4310359798547361,8.068633600614659,10.210139066052006,estimated
111,1200,uts_GPa,3,7.020600666666667,0.1910143448470119,6.546094729129077,7.495106604204256,estimated
