fold,fold_label,control,system_id,held_out_environment_count,pure_median_distance,systematic_seed_reduction_fraction,random_median_reduction_fraction,random_q025_reduction_fraction,random_q975_reduction_fraction,systematic_empirical_percentile
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,900,4.552208231616457,0.4976856960952564,0.647362606503017,0.6124934152793685,0.6922366739013528,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,720,4.623701578215881,0.5104033348552987,0.63086670955327,0.6062991896131692,0.7185010302872478,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,540,4.594004810524294,0.5111051449917503,0.6263878447821267,0.6031077101790483,0.6753455505160593,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,60,5.3689348107076444,0.9966198810172938,0.5176416779756535,0.4306827166520208,0.9966198810172938,91.865
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,60,5.263812417612762,0.42697066694833263,0.43648625836747307,0.3985979788126307,0.49496702007538274,30.82
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,120,4.891658029854182,0.41823762125997793,0.44385055018743996,0.3991772514591932,0.4960520632019028,12.72
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,120,4.8735290328812795,0.41827656056912565,0.45014124798461963,0.42396651179207545,0.49963459339068195,0.8
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,120,5.005874351140314,0.4132971812487458,0.4543251300751847,0.4294711256303987,0.5230612873218151,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,4.960231951961276,0.7297192026202955,0.7917604283311248,0.7788905144413105,0.8012554478776722,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.432127776753763,0.5251955724467561,0.6231589937161175,0.6140277508915505,0.630195595164472,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.432350480167885,0.5083119722847577,0.6271516262006737,0.6166901180021428,0.635427689170249,0.0
