architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,42,4.365769383625112,3.828628379521929,0.5371410041031832,0.41720785505139846,0.6535447691512882,12.303467199111848,7.66845768229199,21.25688564263259,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.7952045168868891,0.6941887781804392,0.10101573870644986,0.03621053695097435,0.16965655774932448,12.703114300948881,4.868372633912802,19.91595958353666,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.7952045168868891,0.24568461509253633,0.5495199017943527,0.5004750283909704,0.6046051991395017,69.10422289169631,65.57288369223815,72.4928027092843,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.6941887781804392,0.24568461509253633,0.44850416308790286,0.41016205369997505,0.48529889768388884,64.60838567046441,59.802244748933354,69.12102046245184,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,41,0.5979486680197549,0.5335256998373676,0.06442296818238724,0.017358347017997426,0.11335327565346853,10.773996436138702,3.0979313338087224,17.794276197783205,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,41,0.5979486680197549,0.18713552776926076,0.4108131402504941,0.3760854605509338,0.4487125039017823,68.70374703082736,65.30348707841964,71.9549991221118,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,41,0.5335256998373676,0.18713552776926076,0.34639017206810685,0.315497437812363,0.376173350294906,64.92473974050274,60.25897623723339,69.2910441899922,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.3773346256563552,1.202370233852682,0.17496439180367318,0.06271848976843797,0.29385377785907335,12.70311430094888,4.8683726339127915,19.91595958353665,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.3773346256563552,0.42553823597827645,0.9517963896780788,0.8668481770926367,1.0472069234299157,69.10422289169631,65.57288369223815,72.49280270928429,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.202370233852682,0.42553823597827645,0.7768319978744056,0.7104215163451508,0.8405623476456656,64.6083856704644,59.80224474893335,69.12102046245184,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,41,307.8044707487049,110.23094677805933,197.57352397064557,166.29717562895536,227.61375412672294,64.1879968442521,59.65324036589788,67.92349973161862,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,41,307.8044707487049,28.182030363948538,279.6224403847564,242.9944323714856,314.57041194826525,90.84417770300787,87.221376453768,93.79481574911406,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,41,110.23094677805933,28.182030363948538,82.04891641411079,70.95383048365088,91.95440510736418,74.43364936283213,66.69709275553953,81.4653703694613,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,41,306.5970091905093,107.00050699200132,199.596502198508,168.51462378058454,229.5887451882934,65.10060314204999,60.67049821196427,68.7757479455246,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,41,306.5970091905093,22.647757347752403,283.9492518427569,247.5157579752358,318.6650830934139,92.61318386387786,89.3209214008878,95.2326731483294,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,41,107.00050699200132,22.647757347752403,84.35274964424892,72.86248319685814,94.69007866098512,78.833971927399,71.22687221553477,85.5426506208354,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,41,252.5238690810938,193.87364041342835,58.65022866766546,29.802840103115813,90.0165380624609,23.225617792522783,12.95733921172901,32.569031214002685,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,41,252.5238690810938,119.8526489727337,132.6712201083601,102.35938258423897,165.46706300620758,52.538090989630355,43.468208676145686,60.73769990790507,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,41,193.87364041342835,119.8526489727337,74.02099144069464,60.249121877293845,86.31263639712208,38.180018326806895,30.523471534573012,45.34941811089558,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,41,2.079935674222664,1.6008203029538597,0.4791153712688041,0.24540326619490715,0.7338641126697727,23.0351052297742,12.942207418290357,32.306646516666866,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,41,2.079935674222664,0.9979283507876654,1.0820073234349983,0.835140555856502,1.3473906279533339,52.02119165725535,42.98625996626003,60.27713980733749,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,41,1.6008203029538597,0.9979283507876654,0.6028919521661943,0.4879923938174421,0.705786828559482,37.66143839216233,29.942259484378713,44.91240023210918,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.8307774816630665,-0.023766905555073436,-0.20902893473191322,0.23725722860071471,-2.9450550288566455,-38.221134109438104,20.1046375861808,unresolved,10000
