fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2,60,5.093126486513989,5.263812417612762,5.778286265336714,4.3442673663594595,5.778287617031304
fcc_to_bcc,pure,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_34_H2C10,2,120,4.932975584058105,4.891658029854182,5.6560105884085425,3.7452351396460846,5.812676064964113
fcc_to_bcc,pure,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_35_H2C12,2,120,4.83026875278105,4.8735290328812795,5.719013471039361,3.7721290721948364,5.823405482831639
fcc_to_bcc,pure,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2,120,4.877687513408941,5.005874351140314,5.591559729617323,3.6705520261167335,5.736039900402043
fcc_to_bcc,pure,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3,300,4.815921344693118,4.960231951961276,5.322036819316743,3.933059412183167,5.4219388410123575
fcc_to_bcc,pure,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4,300,5.399015488889608,5.432127776753763,5.8002081877612195,4.620104497370037,5.979167409696308
fcc_to_bcc,pure,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4,300,5.388827322595781,5.432350480167885,5.781802603395701,4.71107046339945,5.972412030125621
fcc_to_bcc,pure,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4,300,5.422107730385744,5.441472759376545,5.8927046494940525,4.5719943412682,5.972464120740513
fcc_to_bcc,pure,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4,360,5.42457520414614,5.4730922037283785,5.8261550025735875,4.589248569892158,5.977391097376691
fcc_to_bcc,pure,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4,360,5.372677582494656,5.400468453212614,5.834531536336617,4.546002936735523,6.012961340774841
fcc_to_bcc,pure,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4,360,5.357690237342691,5.395412733036429,5.846971073339171,4.361166542569482,6.084049747063891
fcc_to_bcc,pure,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_44_H4C6,4,300,5.449056066952586,5.498576913671456,5.862312105543303,4.713942595040054,5.944949042373965
fcc_to_bcc,pure,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_45_H4C7,4,360,5.387051956802778,5.425115167796466,5.762076122422394,4.703548233501753,5.977896707518428
fcc_to_bcc,pure,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_46_H4C8,4,300,5.450721910962067,5.520309438178991,5.881479000706666,4.637326011135188,6.006665673468187
fcc_to_bcc,pure,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_47_H4C10,4,300,5.420254102462197,5.491801119518442,5.828122098280582,4.54960678731162,5.985123895265564
fcc_to_bcc,pure,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_48_H4C12,4,360,5.435299702141223,5.491008477984291,5.861969649959511,4.563440153944327,5.943125603686623
fcc_to_bcc,pure,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_49_H4C14,4,300,5.402903736097701,5.462055158842634,5.821975852638113,4.6145623051014555,5.983040100132075
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0,60,3.4031494258093646,3.605939703571188,3.806094644533275,2.900388720674023,3.806099643408377
