architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA2,bcc_to_fcc,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,1.1195353391792469,0.9222960857190579,1.320956629339561,10000
DPA3,fcc_to_bcc,pure,independence,force_component_rmse_ev_a,eV/angstrom,42,0.41970066377392906,0.365540488497068,0.485601723089356,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.49052357227381505,0.43547268474521955,0.5422871141403034,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.19157582543758586,0.16567116353210593,0.21913200593187734,10000
DPA3,fcc_to_bcc,pure,independence,force_component_mae_ev_a,eV/angstrom,42,0.28926923603783844,0.2590379811897942,0.32324337527806046,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.3521575063629877,0.3072588984018422,0.39593536747904123,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.13339936045620895,0.11814073375002558,0.1489073745872926,10000
DPA3,fcc_to_bcc,pure,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.7269428736268275,0.6331346983004684,0.8410868566337574,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.849611749488432,0.7542608152871446,0.9392688339809084,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.3318190631598449,0.28695087258665963,0.3795477678384963,10000
DPA3,fcc_to_bcc,pure,independence,energy_rmse_mev_atom,meV/atom,42,199.92105235503806,165.64531338727244,235.24744397933955,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,42,118.70337070795328,90.69924194797156,147.9629359845413,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,84.18478107755969,50.815141668273945,118.59162642804031,10000
DPA3,fcc_to_bcc,pure,independence,energy_mae_mev_atom,meV/atom,42,199.47889854724076,165.0976274176878,234.9269296477186,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,42,114.74460347250508,86.09963838525019,144.60130456047537,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,42,83.74694335825289,50.299186300803285,118.24163538676426,10000
DPA3,fcc_to_bcc,pure,independence,virial_component_rmse_mev_atom,meV/atom,42,416.9895840834569,282.5261307727112,556.5909229702279,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,42,397.1286273573173,260.08109559148403,536.103628250083,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,42,331.8089797920471,206.21710637398905,459.695530228209,10000
DPA3,fcc_to_bcc,pure,independence,stress_component_rmse_gpa,GPa,42,3.4836669389963895,2.3569126617604508,4.650855919134054,10000
DPA3,fcc_to_bcc,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,42,3.3153795516001714,2.1677526073168814,4.481556636641511,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,42,2.7750856057308786,1.7198179748308262,3.8464465376678234,10000
DPA3,bcc_to_fcc,pure,independence,force_component_rmse_ev_a,eV/angstrom,41,0.4411578173049507,0.40654669035154334,0.47791894006787683,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,41,0.5980512327697446,0.572860493640032,0.6215150633011859,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.2957179692963606,0.2313095951682784,0.368313970699357,10000
DPA3,bcc_to_fcc,pure,independence,force_component_mae_ev_a,eV/angstrom,41,0.31467220020694925,0.2929120805390346,0.3368941223025098,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,41,0.42566218375863474,0.4019585843642371,0.44865594169614953,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.21063990177688607,0.16736721128204354,0.25913931273514446,10000
DPA3,bcc_to_fcc,pure,independence,force_vector_rmse_ev_a,eV/angstrom,41,0.7641077537283633,0.7041595233378449,0.8277798860970281,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.0358551206863988,0.9922234806335231,1.0764956673070407,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,0.5121985475323899,0.40063997110964666,0.6379385103887211,10000
DPA3,bcc_to_fcc,pure,independence,energy_rmse_mev_atom,meV/atom,41,110.14077241524816,102.72752249507886,117.42183879424542,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,41,122.86012134801877,114.27750465169747,131.93594099680095,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,40.865428689206254,22.342355301638325,61.52355444558453,10000
DPA3,bcc_to_fcc,pure,independence,energy_mae_mev_atom,meV/atom,41,108.1936930029954,100.54566236882275,115.7347220947278,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,41,117.81880171005189,108.43162937548246,127.51275429080115,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,34.35227266307908,18.890197353381712,52.125597553244184,10000
DPA3,bcc_to_fcc,pure,independence,virial_component_rmse_mev_atom,meV/atom,41,223.25732317532905,190.2610051592765,256.64164700900153,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,41,199.74501331324504,171.10909192822604,229.37195196610674,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,247.39553751203903,169.70450985648012,335.09307018513186,10000
DPA3,bcc_to_fcc,pure,independence,stress_component_rmse_gpa,GPa,41,1.8513901442379492,1.5760334069899224,2.128521438051371,10000
DPA3,bcc_to_fcc,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,41,1.6607639633519522,1.4176334977185103,1.9118073918279128,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,2.052708707833366,1.405996218478011,2.7791038248994666,10000
DPA4,fcc_to_bcc,pure,independence,force_component_rmse_ev_a,eV/angstrom,42,0.5399122039125817,0.5048536726658558,0.5745775882572973,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.33593080944082593,0.2906989641277323,0.38008294637146794,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.1594518057415531,0.14017290093211682,0.1780551979039203,10000
DPA4,fcc_to_bcc,pure,independence,force_component_mae_ev_a,eV/angstrom,42,0.3907886639187481,0.36533627441307304,0.41651057272300246,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.2317874533448681,0.19866133025595606,0.2640471098699038,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.11482711404787908,0.10095948113613028,0.12802747337080536,10000
DPA4,fcc_to_bcc,pure,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.9351553688030793,0.8744322114450093,0.9951975757520296,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.5818492297792492,0.5035053755768749,0.6583229742058594,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.27617862890297284,0.2427865862587452,0.3084006493213215,10000
DPA4,fcc_to_bcc,pure,independence,energy_rmse_mev_atom,meV/atom,42,179.7372935648478,146.8935122044091,213.59488006914836,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,42,111.01771486030836,80.41848519306545,142.5934669322315,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,84.03686291955952,50.4047403370428,118.76418938416062,10000
DPA4,fcc_to_bcc,pure,independence,energy_mae_mev_atom,meV/atom,42,179.38918564629174,146.55845808899835,213.29452542905207,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,42,108.6992196230116,77.89166934814611,140.62316673711234,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,42,83.49740335574569,49.77560576916788,118.25597378440195,10000
DPA4,fcc_to_bcc,pure,independence,virial_component_rmse_mev_atom,meV/atom,42,376.25200961342466,270.8800124144375,485.7713889079075,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,42,411.6160343284543,287.59659617164397,538.5364911483425,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,42,328.3061377845118,205.64549542587693,453.5191763941579,10000
DPA4,fcc_to_bcc,pure,independence,stress_component_rmse_gpa,GPa,42,3.14360356627191,2.259725892017503,4.063182326619046,10000
DPA4,fcc_to_bcc,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,42,3.435929234703706,2.394352240071557,4.502487938353224,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,42,2.746223491973196,1.721913718351036,3.7948555161119253,10000
DPA4,bcc_to_fcc,pure,independence,force_component_rmse_ev_a,eV/angstrom,41,0.609762672452532,0.5732213949769842,0.6451712125489969,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,41,0.8924571488664098,0.6611983116138918,1.1800815617625928,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.21167194534703046,0.18731579109497035,0.23666937207430616,10000
DPA4,bcc_to_fcc,pure,independence,force_component_mae_ev_a,eV/angstrom,41,0.4368044450896681,0.4086606315843368,0.4655249153694074,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,41,0.4523659829754342,0.3882534494708091,0.5236408540969821,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.15213501437674612,0.13664283599162386,0.16786192652407045,10000
DPA4,bcc_to_fcc,pure,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.0561399292467646,0.9928485800856438,1.1174693197156818,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.545781125414683,1.1452290695940193,2.043961222048041,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,0.36662656387799936,0.32444046723644654,0.40992337702812115,10000
DPA4,bcc_to_fcc,pure,independence,energy_rmse_mev_atom,meV/atom,41,101.01244158392923,87.44751688307865,114.9587946422438,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,41,93.7100385310032,88.05787713930624,99.42845673152131,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,30.851460451622238,22.263071075536764,39.965740844609336,10000
DPA4,bcc_to_fcc,pure,independence,energy_mae_mev_atom,meV/atom,41,96.33178555187008,82.07685451724882,111.02517152369438,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,41,86.63746127864307,80.61323562154237,92.44625631492076,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,23.986691792235362,17.266851591642205,31.37668226974194,10000
DPA4,bcc_to_fcc,pure,independence,virial_component_rmse_mev_atom,meV/atom,41,219.199305890693,195.62132002387855,243.91595963089242,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,41,248.73502005669,213.54189216218109,288.0198403956854,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,167.15896624025615,138.01651941148566,196.1350677714889,10000
DPA4,bcc_to_fcc,pure,independence,stress_component_rmse_gpa,GPa,41,1.8151444947061421,1.6200879723053354,2.018846841097399,10000
DPA4,bcc_to_fcc,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,41,2.0512078185920566,1.7636900169990026,2.3713490164184567,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,1.3867567527650368,1.1444916341776215,1.6273735383346646,10000
DPA2,equal_fold_mean,pure,independence,force_component_rmse_ev_a,eV/angstrom,83,0.7902250701151006,0.7440802745908146,0.8382881619140163,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,83,0.5685230723798871,0.5250197479270367,0.6112731146866233,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,83,0.21689412818264006,0.19937863635116473,0.2348043178901599,10000
DPA2,equal_fold_mean,pure,independence,force_component_mae_ev_a,eV/angstrom,83,0.5608524986922259,0.5316645556447873,0.5907581231329462,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,83,0.4084729841433443,0.37342323961564167,0.4433852449846563,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,83,0.1544538746575947,0.14299743471584558,0.16592265388155492,10000
DPA2,equal_fold_mean,pure,independence,force_vector_rmse_ev_a,eV/angstrom,83,1.3687099708540322,1.2887848405010924,1.451957687818602,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,83,0.9847108466371228,0.9093608783866324,1.058756091938109,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,83,0.37567164987568935,0.3453339281040165,0.406693008422311,10000
DPA2,equal_fold_mean,pure,independence,energy_rmse_mev_atom,meV/atom,83,340.44076290697205,318.37437180594435,361.580168149701,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,83,113.27572524657867,97.97879030296798,129.3429968184244,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,83,55.01294561734901,36.67140354124861,73.93416676119205,10000
DPA2,equal_fold_mean,pure,independence,energy_mae_mev_atom,meV/atom,83,339.3009317162109,317.1550162259432,360.50631459863394,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,83,108.58758070981062,92.75019440879689,125.04943012318033,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,83,53.226424119809664,34.95224719703374,72.14287640995528,10000
DPA2,equal_fold_mean,pure,independence,virial_component_rmse_mev_atom,meV/atom,83,380.6723324106631,314.4409052636097,448.85555270206834,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,83,274.5288533557019,214.6406897895004,335.518170354789,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,83,230.0562293763819,167.45773433719472,294.4139923502338,10000
DPA2,equal_fold_mean,pure,independence,stress_component_rmse_gpa,GPa,83,3.163225910604865,2.6072855421991354,3.73415496144941,10000
DPA2,equal_fold_mean,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,83,2.2857342121176663,1.7825490389372964,2.7957708229916047,10000
DPA2,equal_fold_mean,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,83,1.9208470972194367,1.3966236820251763,2.4595527494157436,10000
DPA3,equal_fold_mean,pure,independence,force_component_rmse_ev_a,eV/angstrom,83,0.4304292405394399,0.39756480528250254,0.46749780993250406,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,83,0.5442874025217799,0.5139181516391446,0.5730999709474076,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,83,0.24364689736697326,0.2088389195113413,0.2817137012540257,10000
