architecture,fold,comparison,baseline_regime,treatment_regime,force_bin,systems_with_atoms,baseline_equal_system_component_rmse_ev_a,treatment_equal_system_component_rmse_ev_a,absolute_reduction_ev_a,reduction_ci_low,reduction_ci_high,bootstrap_resamples
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,0.9397744240237258,1.2646556856022653,-0.32488126157853947,-0.3899009538715718,-0.25690623530724765,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[2, 4)",41,0.9397744240237258,0.30208317171309484,0.637691252310631,0.5831468806411532,0.6948985538714534,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[2, 4)",41,1.2646556856022653,0.30208317171309484,0.9625725138891704,0.9048650214692684,1.0158128943534963,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[4, inf)",24,1.127215696454117,2.2281062605131283,-1.1008905640590114,-1.2553662588806676,-0.933746353675092,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[4, inf)",24,1.127215696454117,0.4545104987689003,0.6727051976852165,0.4500027989089525,0.8829497752203931,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[4, inf)",24,2.2281062605131283,0.4545104987689003,1.773595761744228,1.6080768813237523,1.9161608839112445,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0, 0.5)",42,0.530165529930287,0.3053188543537625,0.2248466755765245,0.12983083552600605,0.33893978820058723,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0, 0.5)",42,0.530165529930287,0.41480496152600793,0.11536056840427905,-0.038343845616588206,0.23112390925331322,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0, 0.5)",42,0.3053188543537625,0.41480496152600793,-0.10948610717224544,-0.28401120186163614,0.030849798829263034,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0.5, 1)",41,0.685186630273009,0.5215867282198327,0.16359990205317632,-0.012000146169418894,0.41168670296759113,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0.5, 1)",41,0.685186630273009,0.735951795052637,-0.050765164779628,-0.3772718827656808,0.18271999768722916,10000
