fold,treatment,system_id,parent_family,structure,hnf_group,pure_median_distance,augmented_median_distance,absolute_distance_reduction,relative_distance_reduction
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0,3.773485589645493,2.808929430868067,0.9645561587774258,0.2556141095183148
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1,4.614244489334372,2.2568992149322744,2.357345274402098,0.5108843451730831
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1,4.614244489334372,1.269128227100044,3.3451162622343285,0.7249542736555076
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1,4.5828648690984615,2.305596390376425,2.2772684787220365,0.4969093664701529
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1,4.5828648690984615,1.278680221819857,3.3041846472786043,0.72098670627585
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1,4.536847796753316,2.284670086192091,2.2521777105612246,0.49641905822208554
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1,4.536847796753316,1.2883521046167812,3.2484956921365344,0.7160248343489154
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1,4.543459208697742,2.2980446316765932,2.245414577021149,0.49420815151650394
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1,4.543459208697742,1.2730864034795004,3.2703728052182415,0.7197979898130535
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1,4.538349818639587,2.1601058364557444,2.378243982183843,0.5240327601931628
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1,4.538349818639587,1.1928642510968577,3.3454855675427297,0.7371590338414173
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1,4.645216172711248,2.0082286233626836,2.636987549348565,0.5676781125579885
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1,4.645216172711248,1.0130763032910366,3.632139869420212,0.781909761435335
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1,4.616096836140878,2.27053769003881,2.345559146102068,0.5081260704363794
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1,4.616096836140878,1.2168157933826405,3.3992810427582376,0.7363972558253532
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1,4.600806341790863,2.2769244700750813,2.3238818717157814,0.5051031708522665
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1,4.600806341790863,1.3660795235043182,3.2347268182865445,0.7030782384610059
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1,4.559043460387983,2.277341313211992,2.2817021471759906,0.5004782619426518
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1,4.559043460387983,1.3324618806478763,3.2265815797401065,0.7077321389398465
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1,4.552208231616457,2.2866393090938644,2.2655689225225926,0.4976856960952564
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1,4.552208231616457,1.3392863460105562,3.2129218856059008,0.7057941381703918
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1,4.623701578215881,2.2637488733187876,2.3599527048970934,0.5104033348552987
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1,4.623701578215881,1.2830056362647912,3.3406959419510898,0.7225154749801442
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1,4.594004810524294,2.2459853157484764,2.3480194947758175,0.5111051449917503
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1,4.594004810524294,1.4242081807237934,3.1697966298005005,0.689985483371478
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2,5.3689348107076444,0.018147638470584586,5.35078717223706,0.9966198810172938
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2,5.3689348107076444,0.018147638470584586,5.35078717223706,0.9966198810172938
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2,5.263812417612762,3.0163189189737256,2.2474934986390362,0.42697066694833263
fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2,5.263812417612762,2.6343713085660116,2.62944110904675,0.49953168928448466
