architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA2,bcc_to_fcc,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,41,22.647757347752403,15.624216651267478,30.322440685942947,10000
DPA2,bcc_to_fcc,pure,primary,virial_component_rmse_mev_atom,meV/atom,41,252.5238690810938,222.32656868012774,282.37994313670487,10000
DPA2,bcc_to_fcc,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,41,193.87364041342835,176.85292902875295,210.87066895253108,10000
DPA2,bcc_to_fcc,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,41,119.8526489727337,99.53837674537,141.01374691608567,10000
DPA2,bcc_to_fcc,pure,primary,stress_component_rmse_gpa,GPa,41,2.079935674222664,1.8327079621804625,2.324073085155569,10000
DPA2,bcc_to_fcc,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,41,1.6008203029538597,1.4551781339349095,1.74596946718562,10000
DPA2,bcc_to_fcc,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,41,0.9979283507876654,0.8253969700982964,1.175513324881544,10000
DPA3,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.5257484562019712,1.1945916971303259,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8307774816630665,0.7028172899745968,0.9765027647342783,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8962021154403731,0.4085852179761094,1.4779694155051672,10000
DPA3,fcc_to_bcc,pure,primary,force_component_mae_ev_a,eV/angstrom,42,0.44484086188651645,0.3515996416355631,0.5664248020096527,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,42,0.5700317473728758,0.5133244230263345,0.6293343210856774,10000
