architecture,fold,regime,system_id,parent_family,structure,hnf_group,coverage_distance_median,coverage_distance_p90,force_component_rmse_ev_a
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2.0,5.005874351140314,5.591559729617323,0.732029469845138
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3.0,4.960231951961276,5.322036819316743,0.5845637894213752
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4.0,5.432127776753763,5.80020818776122,0.94005668677447
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4.0,5.432350480167885,5.781802603395701,0.7649365055430863
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4.0,5.441472759376545,5.8927046494940525,0.7952971195751694
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4.0,5.4730922037283785,5.826155002573588,0.7470278733247169
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4.0,5.400468453212614,5.834531536336617,0.6281031595228782
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4.0,5.395412733036429,5.846971073339171,0.6855563776409026
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_44_H4C6,4.0,5.498576913671456,5.862312105543303,0.7517340873809217
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_45_H4C7,4.0,5.425115167796466,5.762076122422394,0.7418645876407879
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_46_H4C8,4.0,5.520309438178991,5.881479000706666,0.8203497546365934
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_47_H4C10,4.0,5.491801119518442,5.828122098280582,0.6093329647457945
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_48_H4C12,4.0,5.491008477984291,5.861969649959511,0.7135191108339349
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_49_H4C14,4.0,5.462055158842634,5.821975852638113,0.7528244981261027
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0.0,3.605939703571188,3.806094644533275,1.1179544579852525
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0.0,3.6257679571370938,3.832965215093653,1.158423658382007
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0.0,3.4414203766028204,3.845142856712527,1.3155709900995098
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0.0,3.560535818176704,3.8596144246302058,1.476911136816072
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0.0,3.224428818414382,3.556926699112774,0.1836281233050737
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0.0,3.258020384130901,3.49625697033881,1.319474879314251
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0.0,3.651528507323513,4.176036199949691,0.6997046532139201
