architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,42,3.0816145045078835,2.7221588552596265,0.359455649248257,0.1814142359383005,0.5234263964160153,11.664523538633203,5.250120493005044,20.50388812388517,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,41,0.7665157710108113,0.6170979044069462,0.14941786660386502,0.0764725720919495,0.22568269065859334,19.493123593116202,10.750918722462549,27.415783758433044,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.7665157710108113,0.2312313860186377,0.5352843849921736,0.4823093440625556,0.5955471246319485,69.83344703870728,66.18118903168177,73.26612134411008,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.6170979044069462,0.2312313860186377,0.38586651838830854,0.33950096457964757,0.4298921199352632,62.52922196505276,56.96960878413067,67.55107878789191,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,41,0.5471829704794465,0.4373658046452819,0.10981716583416462,0.059786822342102405,0.16127734461393908,20.069551093291857,11.567349841423903,27.842929558125448,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.5471829704794465,0.16589600263018336,0.3812869678492632,0.34598036078883243,0.41995743498829524,69.68180451872912,66.2175026893369,72.90578312463596,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.4373658046452819,0.16589600263018336,0.2714698020150985,0.23474256256838333,0.3075312793248607,62.06927910957042,56.49047742456597,67.07517749116623,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.327644260193556,1.0688449236771131,0.25879933651644293,0.13245438024873074,0.3908938866095333,19.493123593116188,10.750918722462561,27.415783758433005,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.327644260193556,0.4005045088888523,0.9271397513047037,0.8353842888815645,1.0315178781640892,69.83344703870725,66.18118903168177,73.26612134411006,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.0688449236771131,0.4005045088888523,0.6683404147882608,0.588032919870591,0.7445949935013698,62.529221965052756,56.96960878413066,67.55107878789192,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,41,301.58395328291425,103.7618450577823,197.82210822513196,166.2690715417554,228.69298763438476,65.59437465810926,61.10313181879021,69.3108390424957,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,301.58395328291425,23.7348653543156,277.84908792859864,240.11037025624938,314.09459399672573,92.12993095423414,88.27547329686722,95.1469900052679,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,103.7618450577823,23.7348653543156,80.0269797034667,67.04757845215745,91.88806987742464,77.12563289415462,67.68378211435122,85.16046592388278,improvement,10000
