run_id,orientation,temperature_K,chemical_seed,velocity_seed,strain_bin,strain_mean,stress_GPa_mean,raw_samples
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,63,0.06344999999999999,3.472634,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,64,0.06444999999999998,3.510373,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,65,0.06544999999999998,3.364353,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,66,0.06644999999999998,3.5359339999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,67,0.06744999999999998,3.6187959999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,68,0.06844999999999998,3.651160999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,69,0.06944999999999998,3.6480650000000003,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,70,0.07044999999999998,3.696432,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,71,0.07144999999999999,3.6737119999999996,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,72,0.07244999999999999,3.697132,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,73,0.07344999999999999,3.847157,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,74,0.07444999999999999,3.770828999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,75,0.07544999999999999,3.884788999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,76,0.07644999999999999,3.907682,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,77,0.07744999999999999,3.923108,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,78,0.07844999999999999,3.685088999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,79,0.07944999999999999,3.930558,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,80,0.08045,4.0079389999999995,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,81,0.08145,3.9289539999999996,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,82,0.08245,4.096792000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,83,0.08345,4.058694,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,84,0.08445,4.011687,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,85,0.08545,4.165757999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,86,0.08645,4.125843000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,87,0.08745,4.016634,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,88,0.08845,4.070014,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,89,0.08945,4.158433,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,90,0.09045,4.103356,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,91,0.09145,4.076523,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,92,0.09245,4.140242,10
